,Gender,Event,Location,Year,Medal,Name,Nationality,Result
1,M,10000M Men,Rio,2016,G,Mohamed Farah,USA,27:05.17
2,M,10000M Men,Rio,2016,S,Paul Kipngetich Tanui,KEN,27:05.64
3,M,10000M Men,Rio,2016,B,Tamirat Tola,ETH,27:06.26
4,M,10000M Men,Beijing,2008,G,Kenenisa Bekele,ETH,27:01.17
5,M,10000M Men,Beijing,2008,S,Sileshi Sihine,ETH,27:02.77
6,M,10000M Men,Beijing,2008,B,Micah Kogo,KEN,27:04.11
7,M,10000M Men,Sydney,2000,G,Haile Gebrselassie,ETH,27:18.20
8,M,10000M Men,Sydney,2000,S,Paul Tergat,KEN,27:18.29
9,M,10000M Men,Sydney,2000,B,Assefa Mezgebu,ETH,27:19.75
10,M,10000M Men,Barcelona,1992,G,Khalid Skah,MAR,27:46.70
11,M,10000M Men,Barcelona,1992,S,Richard Chelimo,KEN,27:47.72
12,M,10000M Men,Barcelona,1992,B,Addis Abebe,ETH,28:00.07
13,M,10000M Men,Los Angeles,1984,G,Alberto Cova,ITA,27:47.54
14,M,10000M Men,Los Angeles,1984,S,Michael Mcleod,GBR,28:06.22
15,M,10000M Men,Los Angeles,1984,B,Michael Musyoki,KEN,28:06.46
16,M,10000M Men,Montreal,1976,G,Lasse Viren,FIN,27:40.38
17,M,10000M Men,Montreal,1976,S,Carlos Lopes,POR,27:45.17
18,M,10000M Men,Montreal,1976,B,Brendan Foster,GBR,27:54.92
19,M,10000M Men,Mexico,1968,G,Naftali Temu,KEN,29:27.4
20,M,10000M Men,Mexico,1968,S,Mamo Wolde,ETH,29:28.0
21,M,10000M Men,Mexico,1968,B,Mohamed Gammoudi,TUN,29:34.2
22,M,10000M Men,Rome,1960,G,Pyotr Bolotnikov,URS,28:32.2
23,M,10000M Men,Rome,1960,S,Hans Grodotzki,EUA,28:37.0
24,M,10000M Men,Rome,1960,B,David Power,AUS,28:38.2
25,M,10000M Men,Helsinki,1952,G,Emil ZãTopek,TCH,29:17.0
26,M,10000M Men,Helsinki,1952,S,Alain Mimoun,FRA,29:32.8
27,M,10000M Men,Helsinki,1952,B,Aleksandr Anufriyev,URS,29:48.2
28,M,10000M Men,Berlin,1936,G,Ilmari Salminen,FIN,30:15.4
29,M,10000M Men,Berlin,1936,S,Arvo Askola,FIN,30:15.6
30,M,10000M Men,Berlin,1936,B,Volmari Iso-Hollo,FIN,30:20.2
31,M,10000M Men,Amsterdam,1928,G,Paavo Nurmi,FIN,30:18.8
32,M,10000M Men,Amsterdam,1928,S,Ville Ritola,FIN,30:19.4
33,M,10000M Men,Amsterdam,1928,B,Edvin Wide,SWE,31:00.8
34,M,10000M Men,Antwerp,1920,G,Paavo Nurmi,FIN,31:45.8
35,M,10000M Men,Antwerp,1920,S,Joseph Guillemot,FRA,31:47.2
36,M,10000M Men,Antwerp,1920,B,James Wilson,GBR,31:50.8
37,M,10000M Men,London,2012,G,Mohamed Farah,GBR,27:30.42
38,M,10000M Men,London,2012,S,Galen Rupp,USA,27:30.90
39,M,10000M Men,London,2012,B,Tariku Bekele,ETH,27:31.43
40,M,10000M Men,Athens,2004,G,Kenenisa Bekele,ETH,27:05.10
41,M,10000M Men,Athens,2004,S,Sileshi Sihine,ETH,27:09.39
42,M,10000M Men,Athens,2004,B,Zersenay Tadese,ERI,27:22.57
43,M,10000M Men,Atlanta,1996,G,Haile Gebrselassie,ETH,27:07.34
44,M,10000M Men,Atlanta,1996,S,Paul Tergat,KEN,27:08.17
45,M,10000M Men,Atlanta,1996,B,Salah Hissou,MAR,27:24.67
46,M,10000M Men,Moscow,1980,G,Miruts Yifter,ETH,27:42.7
47,M,10000M Men,Moscow,1980,S,Kaarlo Maaninka,FIN,27:44.3
48,M,10000M Men,Moscow,1980,B,Mohammed Kedir,ETH,27:44.7
49,M,10000M Men,Munich,1972,G,Lasse Viren,FIN,27:38.35
50,M,10000M Men,Munich,1972,S,Emiel Puttemans,BEL,27:39.58
51,M,10000M Men,Munich,1972,B,Miruts Yifter,ETH,27:40.96
52,M,10000M Men,Tokyo,1964,G,Billy Mills,USA,28:24.4
53,M,10000M Men,Tokyo,1964,S,Mohamed Gammoudi,TUN,28:24.8
54,M,10000M Men,Tokyo,1964,B,Ron Clarke,AUS,28:25.8
55,M,10000M Men,Melbourne / Stockholm,1956,G,Vladimir Kuts,URS,28:45.6
56,M,10000M Men,Melbourne / Stockholm,1956,S,JÃ³zsef KovãCs,HUN,28:52.4
57,M,10000M Men,Melbourne / Stockholm,1956,B,Allan Lawrence,AUS,28:53.6
58,M,10000M Men,London,1948,G,Emil ZãTopek,TCH,29:59.6
59,M,10000M Men,London,1948,S,Alain Mimoun,FRA,30:47.4
60,M,10000M Men,London,1948,B,Bertil Albertsson,SWE,30:53.6
61,M,10000M Men,Los Angeles,1932,G,Janusz Kusocinski,POL,30:11.4
62,M,10000M Men,Los Angeles,1932,S,Volmari Iso-Hollo,FIN,30:12.6
63,M,10000M Men,Los Angeles,1932,B,Lauri Virtanen,FIN,30:35.0
64,M,10000M Men,Paris,1924,G,Ville Ritola,FIN,30:23.2
65,M,10000M Men,Paris,1924,S,Edvin Wide,SWE,30:55.2
66,M,10000M Men,Paris,1924,B,Eero Berg,FIN,31:43.0
67,M,10000M Men,Stockholm,1912,G,Hannes Kolehmainen,FIN,31:20.8
68,M,10000M Men,Stockholm,1912,S,Lewis Tewanima,USA,32:06.6
69,M,10000M Men,Stockholm,1912,B,Albin Stenroos,FIN,32:21.8
70,M,100M Men,Rio,2016,G,Usain Bolt,JAM,9.81
71,M,100M Men,Rio,2016,S,Justin Gatlin,USA,9.89
72,M,100M Men,Rio,2016,B,Andre DE Grasse,CAN,9.91
73,M,100M Men,Beijing,2008,G,Usain Bolt,JAM,9.69
74,M,100M Men,Beijing,2008,S,Richard Thompson,TTO,9.89
75,M,100M Men,Beijing,2008,B,Walter Dix,USA,9.91
76,M,100M Men,Sydney,2000,G,Maurice Greene,USA,9.87
77,M,100M Men,Sydney,2000,S,Ato Boldon,TTO,9.99
78,M,100M Men,Sydney,2000,B,Obadele Thompson,BAR,10.04
79,M,100M Men,Barcelona,1992,G,Linford Christie,GBR,9.96
80,M,100M Men,Barcelona,1992,S,Frank Fredericks,NAM,10.02
81,M,100M Men,Barcelona,1992,B,Dennis Mitchell,USA,10.04
82,M,100M Men,Los Angeles,1984,G,Carl Lewis,USA,9.99
83,M,100M Men,Los Angeles,1984,S,Sam Graddy,USA,10.19
84,M,100M Men,Los Angeles,1984,B,Ben Johnson,CAN,10.22
85,M,100M Men,Montreal,1976,G,Hasely Crawford,TTO,10.06
86,M,100M Men,Montreal,1976,S,Donald Quarrie,JAM,10.08
87,M,100M Men,Montreal,1976,B,Valery Borzov,URS,10.14
88,M,100M Men,Mexico,1968,G,Jim Hines,USA,9.9
89,M,100M Men,Mexico,1968,S,Lennox Miller,JAM,10.0
90,M,100M Men,Mexico,1968,B,Charlie Greene,USA,10.0
91,M,100M Men,Rome,1960,G,Armin Hary,EUA,10.2
92,M,100M Men,Rome,1960,S,Dave Sime,USA,10.2
